Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,CTL1_TASK.started,start_tone.started,read_number.started,start_tone.stopped,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,start_tone_2.started,subtract_number.started,start_tone_2.stopped,CTL2_TASK.stopped,CTL2_PAUSE.started,start_pause_tone_2.started,subtract_pausing.started,start_pause_tone_2.stopped,CTL2_PAUSE.stopped,subtract_number.stopped,subtract_pausing.stopped,task_end.started,task_end_text.started,task_end.stopped,TSST_instruction_start.started,tsst_instruction_text.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,start_tone_3.started,subtract_number_TSST.started,start_tone_3.stopped,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,tsst_start_pause_tone.started,subtract_pausing_TSST.started,tsst_start_pause_tone.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.01075112505350262,0.03375766705721617,0.7581096669891849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
,,0,0,0,0,,,,,,,,,0.7943824590183794,,,,,0.762364250025712,0.7812684590695426,0.9526060000061989,0.9739870419725776,3.2255365840392187,3.225566584034823,3.2280699589755386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.228108749957755,3.235075542004779,3.963997167069465,,,,,,,,,,,,,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
1,1659,,,,,0,0,0,0,,,,,3.9821300000185147,,,,,,,,,,,,,,,3.9752204170217738,3.980099625714744,3.9821300000185147,4.176831708988175,43.96498024999164,43.96534704195801,43.98131054168722,43.976176625001244,44.177345250034705,63.96428508404642,,,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
2,1303,,,,,0,1,1,1,,,,,63.97279975004494,,,,,,,,,,,,,,,63.965967959025875,63.98077404167658,63.97279975004494,64.17795670905616,103.95664458395913,103.95691020903178,103.97267979168488,103.96488337498158,104.1769577920204,123.94776191702113,103.96488337498158,123.9558744590031,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
3,918,,,,,0,2,2,2,,,,,123.9558744590031,,,,,,,,,,,,,,,123.94845633406658,123.96432300069525,123.9558744590031,124.16113537503406,163.94990945898462,163.95039037498645,163.96588266670395,163.95974137505982,164.16153095907066,183.94859591696877,163.95974137505982,183.9590046670055,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
4,1518,,,,,0,3,3,3,,,,,183.9590046670055,,,,,,,,,,,,,,,183.9504458750598,183.96484108368557,183.9590046670055,184.1600263339933,223.9496426669648,223.9497263339581,223.96591004165046,223.95691304199863,224.1651614169823,243.9399496250553,223.95691304199863,243.94833737506997,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
5,857,,,,,0,4,4,4,,,,,243.94833737506997,,,,,,,,,,,,,,,243.94059450004715,243.96500404173665,243.9530628339853,244.16239270905498,252.65651137498207,252.65677841706201,,,,252.65773049998097,,,,,,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6578592089936,252.71072016702965,254.40664775006007,,,,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.4068013340002,254.43228725006338,255.9840455839876,,,,,,,,,,723112,001,2025-11-04_14h18.58.876,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-04 14h23.27.104757 -0400,
,,,,,,,,,,,,,,256.01127262506634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.00364129198715,256.0160416673248,256.01127262506634,256.2149949170416,295.9920935840346,295.9951501250034,296.0230314583828,296.0253600840224,296.21853970899247,,,,,,,,
